"dates","rate"
"2017-01-03",0.366666666666667
"2017-01-18",0.147058823529412
"2017-02-21",0.235294117647059
"2017-03-10",0.214285714285714
"2017-04-14",0.0588235294117647
"2017-05-01",0.85
"2017-05-11",0.409090909090909
"2017-05-22",0.464285714285714
"2017-06-05",1
"2017-06-17",0.0952380952380952
"2017-07-08",1.125
"2017-07-16",2.16666666666667
"2017-07-19",2.33333333333333
"2017-07-25",2.2
"2017-07-30",1.75
"2017-08-03",2.75
"2017-08-05",3.2
"2017-08-10",1.5
"2017-08-14",1.35714285714286
"2017-08-21",0.818181818181818
"2017-09-01",0.888888888888889
"2017-09-10",0.805555555555556
"2017-09-28",1.22222222222222
"2017-10-07",1.42857142857143
"2017-10-14",0.431818181818182
"2017-11-05",0.441860465116279
"2017-12-18",0
