"dates","rate"
"2018-01-01",0.375
"2018-01-25",0.475
"2018-02-14",0.5
"2018-03-04",0.4
"2018-03-19",0.391304347826087
"2018-04-11",0.147058823529412
"2018-04-28",0.75
"2018-05-08",0.285714285714286
"2018-05-29",1.42857142857143
"2018-06-05",1.15
"2018-06-15",0.8125
"2018-06-23",1.0625
"2018-07-01",0.162162162162162
"2018-08-07",0.8
"2018-08-27",0.692307692307692
"2018-09-09",0.761904761904762
"2018-09-30",0.815789473684211
"2018-10-19",1.41666666666667
"2018-10-25",1.6
"2018-11-04",1.5
"2018-11-15",1.09375
"2018-12-1",0.4
"2018-12-31",0
