long,lat,total,hr,mo,day
-73.982307,40.762493,1.8718021769015913,23,Jan,Mon
-73.992867,40.760723,1.791759469228055,7,Jan,Tue
-73.944313,40.714382,2.9444389791664403,21,Jan,Mon
-73.965698,40.754375,1.252762968495368,21,Jan,Mon
-73.989876,40.72963,2.0149030205422647,4,Jan,Tue
-73.986206,40.744556,1.8718021769015913,20,Jan,Mon
-73.989281,40.742092,2.0794415416798357,20,Jan,Mon
-73.982635,40.771626,2.6304489550786583,23,Jan,Mon
-73.975708,40.749699,1.8718021769015913,7,Jan,Tue
-73.968208,40.755703,4.07753744390572,7,Jan,Tue
-73.998726,40.68396,3.2676659890376327,8,Jan,Tue
-73.979591,40.746529,2.772588722239781,9,Jan,Tue
-74.007904,40.738739,2.302585092994046,6,Jan,Tue
-73.984535,40.759075,2.2512917986064953,8,Jan,Tue
-73.985497,40.759609,2.0149030205422647,8,Jan,Tue
-73.994209,40.751076,2.1972245773362196,8,Jan,Tue
-74.007401,40.728016,1.7263316639055997,9,Jan,Tue
-73.994057,40.699093,3.4210000089583352,8,Jan,Tue
-73.971367,40.754997,2.474856313934499,8,Jan,Tue
-73.982063,40.740807,2.5649493574615367,11,Jan,Tue
-73.99025,40.767273,2.513656063073986,9,Jan,Tue
-73.981956,40.762913,1.766441661243765,8,Jan,Tue
-73.992249,40.743301,2.0541237336955462,7,Jan,Tue
-73.977089,40.752773,2.74855214441154,6,Jan,Tue
-73.985542,40.759167,3.1986731175506815,9,Jan,Tue
-73.963341,40.810753,3.2771447329921766,11,Jan,Tue
-73.989265,40.738178,2.365559892155434,12,Jan,Tue
-73.872978,40.774151,3.5263605246161616,9,Jan,Tue
-73.986748,40.745274,2.3223877202902252,12,Jan,Tue
-73.995911,40.741089,2.0149030205422647,11,Jan,Tue
-73.997756999999993,40.761623,2.0149030205422647,12,Jan,Tue
-73.975212,40.758762,2.3223877202902252,15,Jan,Tue
-73.99762,40.745113,2.803360380906535,14,Jan,Tue
-73.986115,40.743896,1.8718021769015913,14,Jan,Tue
-73.963898,40.767746,1.5686159179138452,13,Jan,Tue
-73.99501,40.744946,1.766441661243765,15,Jan,Tue
-73.963173,40.760494,3.8607297110405954,15,Jan,Tue
-73.987541,40.72871,3.3843902633457743,13,Jan,Tue
-73.972015,40.759781,2.1972245773362196,14,Jan,Tue
-73.99218,40.753876,2.3978952727983707,15,Jan,Tue
-74.011574,40.709267,3.0819099697950434,19,Jan,Tue
-73.953743,40.785141,2.302585092994046,19,Jan,Tue
-73.974884,40.787868,3.258096538021482,18,Jan,Tue
-73.990433,40.686829,1.916922612182061,19,Jan,Tue
-73.974113,40.750504,3.079613757534693,18,Jan,Tue
-73.986969,40.73315,2.2512917986064953,20,Jan,Tue
-73.971947,40.76371,2.6026896854443837,18,Jan,Tue
-73.956711,40.764034,2.6741486494265287,17,Jan,Tue
-73.789505,40.643597,4.04305126783455,20,Jan,Tue
-73.996147,40.742706,2.272125885509337,20,Jan,Tue
-73.969551,40.80022,2.8903717578961645,19,Jan,Tue
-74.004295,40.747543,2.4849066497880004,20,Jan,Tue
-74.007782,40.7052,2.4849066497880004,20,Jan,Tue
-73.992416,40.724392,2.6026896854443837,22,Jan,Tue
-74.001404,40.73922,2.5416019934645457,20,Jan,Tue
-73.974609,40.74839,4.219507705176107,21,Jan,Tue
-73.981812,40.773067,2.4423470353692043,22,Jan,Tue
-73.996208,40.743458,1.9021075263969205,22,Jan,Tue
-74.005051,40.741024,1.7047480922384253,21,Jan,Tue
-73.951706,40.714092,3.2386784521643803,2,Jan,Wed
-74.007111,40.743851,1.8718021769015913,2,Jan,Wed
-73.980621,40.685375,1.8082887711792655,23,Jan,Tue
-73.951408,40.724869,2.6741486494265287,0,Jan,Wed
-73.962852,40.772476,1.9459101490553132,7,Jan,Wed
-74.005417,40.739887,2.7536607123542622,1,Jan,Wed
-73.968315,40.758911,2.5416019934645457,1,Jan,Wed
-73.964836,40.763924,1.9459101490553132,7,Jan,Wed
-73.979698,40.781036,2.5257286443082556,8,Jan,Wed
-73.978119,40.778194,2.533696813957432,7,Jan,Wed
-73.991714,40.726498,1.766441661243765,9,Jan,Wed
-73.959114,40.80117,3.3796332037463146,4,Jan,Thu
-73.9823,40.751785,1.9459101490553132,10,Jan,Wed
-73.992302,40.758717,1.9459101490553132,10,Jan,Wed
-73.955803,40.76807,2.9856819377004897,8,Jan,Wed
-73.981789,40.758862,3.4404180948154366,11,Jan,Wed
-73.923775,40.770386,1.9459101490553132,7,Jan,Wed
-73.992409,40.753799,2.6390573296152584,11,Jan,Wed
-73.964958,40.755917,2.302585092994046,12,Jan,Wed
-73.995834,40.759148,2.0149030205422647,11,Jan,Wed
-73.968948,40.758472,2.8622008809294686,12,Jan,Wed
-73.998436,40.681667,2.833213344056216,12,Jan,Wed
-73.954399,40.764187,2.6026896854443837,12,Jan,Wed
-73.960754,40.775948,1.7047480922384253,14,Jan,Wed
-74.009155,40.710957,2.0541237336955462,12,Jan,Wed
-73.953819,40.766994,2.0794415416798357,13,Jan,Wed
