long,lat,total,hr,mo,day
-73.979889,40.780987,3.2068032436339315,8,Jan,Wed
-73.974266,40.762566,2.4423470353692043,12,Jul,Fri
-73.968475,40.799648,2.6461747973841225,19,Aug,Wed
-73.955856,40.767925,3.0726933146901194,13,Jun,Sun
-73.981995,40.774685,1.8718021769015913,9,Nov,Wed
-73.983543,40.743862,1.9459101490553132,18,Feb,Sun
-73.997162,40.722164,1.8718021769015913,20,Mar,Fri
-73.953743,40.779221,3.2771447329921766,21,Nov,Thu
-73.982552,40.764252,2.3978952727983707,15,May,Sat
-73.951553,40.77858,3.349904087274605,6,Jun,Sat
-73.978027,40.746071,1.9459101490553132,1,Sep,Sun
-73.980904,40.741833,3.367295829986474,20,Apr,Fri
-74.000816,40.757957,2.0149030205422647,14,Apr,Sat
-73.992134,40.694828,3.3843902633457743,11,Aug,Sat
-73.9692,40.785355,3.2771447329921766,11,Jun,Wed
-73.975227,40.755562,1.9021075263969205,21,Jul,Mon
-73.965637,40.770023,2.5257286443082556,19,Feb,Fri
-73.932312,40.744957,2.760009940032921,16,Mar,Tue
-74.002258,40.724693,2.0794415416798357,23,Jul,Thu
-73.999153,40.761002,2.1972245773362196,23,Feb,Sun
-74.002953,40.733646,2.1400661634962708,21,Feb,Mon
-73.986374,40.777126,1.9629077254238845,22,Nov,Fri
-73.971123,40.758263,2.0794415416798357,21,Apr,Fri
-73.988487,40.750038,1.252762968495368,20,Nov,Fri
-73.954735,40.773689,2.8622008809294686,16,Jun,Sat
-73.969681,40.757198,2.714694743820879,23,Apr,Mon
-73.976959,40.751118,2.667228206581955,12,Oct,Wed
-73.985985,40.75407,2.8390784635086144,21,Feb,Thu
-73.776695,40.645538,4.127134385045092,15,Jan,Fri
-73.993187,40.738865,2.1972245773362196,15,Dec,Wed
-73.984444,40.759209,1.8718021769015913,21,May,Sat
-73.978401,40.745152,2.4849066497880004,0,Mar,Sun
-73.975197,40.756626,2.302585092994046,13,Sep,Sat
-73.971664,40.75441,2.8903717578961645,17,Jun,Wed
-73.975769,40.749062,1.5040773967762742,15,Jun,Thu
-73.98793,40.716339,3.295836866004329,12,May,Sat
-73.986717,40.719608,3.5409593240373143,22,Dec,Thu
-73.994415,40.73716,2.3513752571634776,9,Feb,Mon
-73.992554,40.694405,3.1780538303479458,10,Sep,Tue
-73.991364,40.750187,2.6390573296152584,9,Oct,Wed
-73.989746,40.738403,2.5494451709255714,21,Feb,Mon
-73.956879,40.771576,1.8718021769015913,10,Nov,Mon
-73.986649,40.740368,1.252762968495368,10,Dec,Fri
-73.862968,40.769035,3.7923381624821664,15,Apr,Thu
-73.991264,40.745102,2.70805020110221,18,Apr,Wed
-73.985336,40.731739,2.5649493574615367,1,Dec,Sun
-73.994781,40.759922,2.0794415416798357,10,Mar,Tue
-73.980919,40.751724,2.066862759472976,13,Jan,Tue
-73.99205,40.725616,2.066862759472976,2,Mar,Sat
-73.976318,40.747543,2.1400661634962708,22,Mar,Sat
-73.992867,40.745373,2.990719731730447,19,Mar,Sun
-73.973808,40.763008,2.4336133554004498,13,Aug,Fri
-73.992584,40.750061,2.6741486494265287,11,Jun,Mon
-73.862968,40.769119,3.2771447329921766,17,Feb,Sun
-73.983734,40.75378,2.5649493574615367,18,May,Tue
-73.997498,40.719387,3.0204248861443626,16,Jun,Sun
-73.987946,40.764713,3.520460802488973,0,May,Fri
-74.007462,40.724941,1.6094379124341003,12,Jun,Fri
-73.960808,40.76561,2.33214389523559,13,Sep,Fri
-73.989967,40.738392,3.0204248861443626,21,May,Sun
-74.002998,40.727413,2.5257286443082556,8,Feb,Sat
-73.969872,40.768978,2.1972245773362196,13,Dec,Mon
-73.979156,40.747478,3.096482176654134,20,Apr,Sat
-73.971703,40.756947,1.9459101490553132,15,Apr,Thu
-73.988434,40.758595,2.3978952727983707,1,Jun,Wed
-73.965332,40.774841,2.2512917986064953,12,Feb,Thu
-73.980965,40.755424,2.9444389791664403,16,Oct,Mon
-73.963745,40.761269,3.1780538303479458,21,Mar,Wed
-73.965996,40.77121,2.2512917986064953,16,Dec,Sun
-73.977676,40.763779,2.3561258599220753,10,Jul,Wed
-73.985313,40.758228,2.0149030205422647,16,Mar,Thu
-74.005241,40.706772,3.068052935133617,15,Jun,Mon
-73.981789,40.778454,2.33214389523559,7,Jul,Mon
-73.971352,40.761951,1.9459101490553132,12,Feb,Sat
-73.986931,40.75061,2.5257286443082556,20,Jul,Fri
-73.945778,40.77951,2.740840023925201,15,May,Thu
-74.005653,40.725803,2.6741486494265287,1,Nov,Sat
-73.972771,40.782478,3.0726933146901194,13,Dec,Tue
-73.981781,40.759026,2.9601050959108397,14,Jun,Tue
-73.956619,40.770714,1.7047480922384253,17,Jul,Sun
-73.990021,40.751137,2.5877640352277083,12,Aug,Wed
-73.957611,40.77422,1.791759469228055,10,Aug,Fri
-73.783363,40.648663,4.060443010546419,20,Mar,Sun
-73.981415,40.763199,2.4849066497880004,20,Sep,Mon
-73.997398,40.660896,2.6741486494265287,1,Aug,Sun
-73.961128,40.714645,1.8718021769015913,19,Jun,Sun
-73.984512,40.742462,3.3638415951183864,20,Jan,Mon
-73.989426,40.758751,2.2192034840549946,19,Oct,Thu
-73.980331,40.75861,2.3513752571634776,22,Jan,Thu
-73.994255,40.745739,2.4423470353692043,7,Jun,Tue
-73.992332,40.740189,1.9878743481543455,13,Jul,Tue
-73.977478,40.752216,2.1400661634962708,18,Nov,Tue
-73.874557,40.774021,3.295836866004329,20,Mar,Sat
-73.967751,40.689491,1.791759469228055,2,Jan,Tue
-73.981552,40.758308,4.30406509320417,18,Sep,Wed
-73.988152,40.724777,2.6354795082673745,4,Jul,Tue
-73.920006,40.766006,3.3141860046725258,0,Dec,Fri
